user_id,first_name,last_name,email
1,John,Doe,john.doe@example.com
2,Jane,Smith,jane.smith@example.com
3,Alice,Johnson,alice.j@example.com
4,Bob,Brown,bob.brown@example.com
5,Charlie,Davis,charlie.d@example.com
6,David,Wilson,david.w@example.com
7,Emily,Martinez,emily.m@example.com
8,Frank,Garcia,frank.g@example.com
9,Grace,Anderson,grace.a@example.com
10,Henry,Thomas,henry.t@example.com
11,Isabella,Taylor,isabella.t@example.com
12,Jack,Lee,jack.l@example.com
13,Kate,White,kate.w@example.com
14,Liam,Harris,liam.h@example.com
15,Mia,Martin,mia.m@example.com
16,Noah,Thompson,noah.t@example.com
17,Olivia,Garcia,olivia.g@example.com
18,Paul,Robinson,paul.r@example.com
19,Quinn,Lewis,quinn.l@example.com
20,Tom,Clancy,tom.c@example.com
